commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Zinc,inferred,tonnes,1937300.0,percent,1.79,percent,0.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,1492700.0,percent,2.06,percent,1.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,714800.0,percent,2.95,percent,1.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,445600.0,percent,3.67,percent,2.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,276000.0,percent,4.57,percent,2.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,113500.0,percent,7.32,percent,3.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,94900.0,percent,8.12,percent,3.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,80400.0,percent,8.93,percent,4.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,77500.0,percent,9.11,percent,4.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,72900.0,percent,9.38,percent,5.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,65500.0,percent,9.84,percent,5.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,56200.0,percent,10.52,percent,6.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,51500.0,percent,10.91,percent,6.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,47800.0,percent,11.23,percent,7.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,44300.0,percent,11.56,percent,7.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,40400.0,percent,11.93,percent,8.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,38300.0,percent,12.13,percent,8.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,35500.0,percent,12.41,percent,9.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,32200.0,percent,12.73,percent,9.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,28500.0,percent,13.12,percent,10.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,25000.0,percent,13.53,percent,10.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,19600.0,percent,14.3,percent,11.00,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,18400.0,percent,14.5,percent,11.50,,License 5 Lower Mineralisation
Zinc,inferred,tonnes,17200.0,percent,14.71,percent,12.00,,License 5 Lower Mineralisation
