commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Zinc,inferred,tons,42330000.0,percent,1.22,percent,0.25,,Jersey Inferred Resource
Zinc,inferred,tons,34480000.0,percent,1.44,percent,0.50,,Jersey Inferred Resource
Zinc,inferred,tons,28580000.0,percent,1.63,percent,0.75,,Jersey Inferred Resource
Zinc,inferred,tons,23970000.0,percent,1.82,percent,1.00,,Jersey Inferred Resource
Zinc,inferred,tons,19930000.0,percent,2.01,percent,1.25,,Jersey Inferred Resource
Zinc,inferred,tons,16930000.0,percent,2.18,percent,1.50,,Jersey Inferred Resource
Zinc,inferred,tons,14460000.0,percent,2.35,percent,1.75,,Jersey Inferred Resource
Zinc,inferred,tons,12440000.0,percent,2.50,percent,2.00,,Jersey Inferred Resource
Zinc,inferred,tons,10670000.0,percent,2.65,percent,2.25,,Jersey Inferred Resource
Zinc,inferred,tons,9130000.0,percent,2.81,percent,2.50,,Jersey Inferred Resource
Zinc,inferred,tons,7810000.0,percent,2.95,percent,2.75,,Jersey Inferred Resource
Zinc,inferred,tons,6720000.0,percent,3.10,percent,3.00,,Jersey Inferred Resource
Zinc,inferred,tons,5780000.0,percent,3.24,percent,3.25,,Jersey Inferred Resource
Zinc,inferred,tons,4980000.0,percent,3.37,percent,3.50,,Jersey Inferred Resource
Zinc,inferred,tons,4260000.0,percent,3.50,percent,3.75,,Jersey Inferred Resource
Zinc,inferred,tons,3680000.0,percent,3.62,percent,4.00,,Jersey Inferred Resource
Zinc,inferred,tons,3170000.0,percent,3.75,percent,4.25,,Jersey Inferred Resource
Zinc,inferred,tons,2740000.0,percent,3.88,percent,4.50,,Jersey Inferred Resource
Zinc,inferred,tons,2420000.0,percent,3.97,percent,4.75,,Jersey Inferred Resource
Zinc,inferred,tons,2130000.0,percent,4.06,percent,5.00,,Jersey Inferred Resource
Zinc,inferred,tons,1860000.0,percent,4.15,percent,5.25,,Jersey Inferred Resource
Zinc,inferred,tons,1660000.0,percent,4.20,percent,5.50,,Jersey Inferred Resource
Zinc,inferred,tons,1460000.0,percent,4.26,percent,5.75,,Jersey Inferred Resource
Zinc,inferred,tons,1300000.0,percent,4.34,percent,6.00,,Jersey Inferred Resource
Lead,inferred,tons,42330000.0,percent,0.51,percent,0.25,,Jersey Inferred Resource
Lead,inferred,tons,34480000.0,percent,0.60,percent,0.50,,Jersey Inferred Resource
Lead,inferred,tons,28580000.0,percent,0.70,percent,0.75,,Jersey Inferred Resource
Lead,inferred,tons,23970000.0,percent,0.79,percent,1.00,,Jersey Inferred Resource
Lead,inferred,tons,19930000.0,percent,0.90,percent,1.25,,Jersey Inferred Resource
Lead,inferred,tons,16930000.0,percent,1.00,percent,1.50,,Jersey Inferred Resource
Lead,inferred,tons,14460000.0,percent,1.11,percent,1.75,,Jersey Inferred Resource
Lead,inferred,tons,12440000.0,percent,1.21,percent,2.00,,Jersey Inferred Resource
Lead,inferred,tons,10670000.0,percent,1.32,percent,2.25,,Jersey Inferred Resource
Lead,inferred,tons,9130000.0,percent,1.44,percent,2.50,,Jersey Inferred Resource
Lead,inferred,tons,7810000.0,percent,1.56,percent,2.75,,Jersey Inferred Resource
Lead,inferred,tons,6720000.0,percent,1.68,percent,3.00,,Jersey Inferred Resource
Lead,inferred,tons,5780000.0,percent,1.81,percent,3.25,,Jersey Inferred Resource
Lead,inferred,tons,4980000.0,percent,1.95,percent,3.50,,Jersey Inferred Resource
Lead,inferred,tons,4260000.0,percent,2.11,percent,3.75,,Jersey Inferred Resource
Lead,inferred,tons,3680000.0,percent,2.26,percent,4.00,,Jersey Inferred Resource
Lead,inferred,tons,3170000.0,percent,2.41,percent,4.25,,Jersey Inferred Resource
Lead,inferred,tons,2740000.0,percent,2.57,percent,4.50,,Jersey Inferred Resource
Lead,inferred,tons,2420000.0,percent,2.72,percent,4.75,,Jersey Inferred Resource
Lead,inferred,tons,2130000.0,percent,2.88,percent,5.00,,Jersey Inferred Resource
Lead,inferred,tons,1860000.0,percent,3.06,percent,5.25,,Jersey Inferred Resource
Lead,inferred,tons,1660000.0,percent,3.23,percent,5.50,,Jersey Inferred Resource
Lead,inferred,tons,1460000.0,percent,3.40,percent,5.75,,Jersey Inferred Resource
Lead,inferred,tons,1300000.0,percent,3.55,percent,6.00,,Jersey Inferred Resource
Zinc,indicated,tons,11020000.0,percent,1.57,percent,0.25,,Jersey Indicated Resource
Zinc,indicated,tons,9420000.0,percent,1.79,percent,0.50,,Jersey Indicated Resource
Zinc,indicated,tons,8090000.0,percent,2.01,percent,0.75,,Jersey Indicated Resource
Zinc,indicated,tons,7030000.0,percent,2.21,percent,1.00,,Jersey Indicated Resource
Zinc,indicated,tons,6110000.0,percent,2.41,percent,1.25,,Jersey Indicated Resource
Zinc,indicated,tons,5320000.0,percent,2.60,percent,1.50,,Jersey Indicated Resource
Zinc,indicated,tons,4640000.0,percent,2.80,percent,1.75,,Jersey Indicated Resource
Zinc,indicated,tons,4050000.0,percent,3.00,percent,2.00,,Jersey Indicated Resource
Zinc,indicated,tons,3570000.0,percent,3.18,percent,2.25,,Jersey Indicated Resource
Zinc,indicated,tons,3110000.0,percent,3.38,percent,2.50,,Jersey Indicated Resource
Zinc,indicated,tons,2730000.0,percent,3.57,percent,2.75,,Jersey Indicated Resource
Zinc,indicated,tons,2430000.0,percent,3.73,percent,3.00,,Jersey Indicated Resource
Zinc,indicated,tons,2140000.0,percent,3.93,percent,3.25,,Jersey Indicated Resource
Zinc,indicated,tons,1900000.0,percent,4.10,percent,3.50,,Jersey Indicated Resource
Zinc,indicated,tons,1700000.0,percent,4.28,percent,3.75,,Jersey Indicated Resource
Zinc,indicated,tons,1510000.0,percent,4.47,percent,4.00,,Jersey Indicated Resource
Zinc,indicated,tons,1360000.0,percent,4.63,percent,4.25,,Jersey Indicated Resource
Zinc,indicated,tons,1230000.0,percent,4.79,percent,4.50,,Jersey Indicated Resource
Zinc,indicated,tons,1110000.0,percent,4.95,percent,4.75,,Jersey Indicated Resource
Zinc,indicated,tons,1000000.0,percent,5.10,percent,5.00,,Jersey Indicated Resource
Zinc,indicated,tons,910000.0,percent,5.22,percent,5.25,,Jersey Indicated Resource
Zinc,indicated,tons,810000.0,percent,5.43,percent,5.50,,Jersey Indicated Resource
Zinc,indicated,tons,740000.0,percent,5.55,percent,5.75,,Jersey Indicated Resource
Zinc,indicated,tons,690000.0,percent,5.70,percent,6.00,,Jersey Indicated Resource
Lead,indicated,tons,11020000.0,percent,0.59,percent,0.25,,Jersey Indicated Resource
Lead,indicated,tons,9420000.0,percent,0.68,percent,0.50,,Jersey Indicated Resource
Lead,indicated,tons,8090000.0,percent,0.77,percent,0.75,,Jersey Indicated Resource
Lead,indicated,tons,7030000.0,percent,0.85,percent,1.00,,Jersey Indicated Resource
Lead,indicated,tons,6110000.0,percent,0.95,percent,1.25,,Jersey Indicated Resource
Lead,indicated,tons,5320000.0,percent,1.04,percent,1.50,,Jersey Indicated Resource
Lead,indicated,tons,4640000.0,percent,1.15,percent,1.75,,Jersey Indicated Resource
Lead,indicated,tons,4050000.0,percent,1.25,percent,2.00,,Jersey Indicated Resource
Lead,indicated,tons,3570000.0,percent,1.36,percent,2.25,,Jersey Indicated Resource
Lead,indicated,tons,3110000.0,percent,1.48,percent,2.50,,Jersey Indicated Resource
Lead,indicated,tons,2730000.0,percent,1.60,percent,2.75,,Jersey Indicated Resource
Lead,indicated,tons,2430000.0,percent,1.71,percent,3.00,,Jersey Indicated Resource
Lead,indicated,tons,2140000.0,percent,1.84,percent,3.25,,Jersey Indicated Resource
Lead,indicated,tons,1900000.0,percent,1.96,percent,3.50,,Jersey Indicated Resource
