commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Zinc,measured,tonnes,1880000,percent,3.8,Surface,,,
Lead,measured,tonnes,1880000,percent,1.6,Surface,,,
Zinc,indicated,tonnes,2250000,percent,3.2,Surface,,,
Lead,indicated,tonnes,2250000,percent,1.4,Surface,,,
Zinc,indicated,tonnes,1110000,percent,6.6,Underground,,,
Lead,indicated,tonnes,1110000,percent,3.7,Underground,,,
Zinc,inferred,tonnes,1800000,percent,3.1,Surface and Underground,,,
Lead,inferred,tonnes,1800000,percent,1.1,Surface and Underground,,,
Zinc,proven,tonnes,1750000,percent,3.2,Surface,,,
Lead,proven,tonnes,1750000,percent,1.3,Surface,,,
Zinc,probable,tonnes,1690000,percent,2.5,Surface,,,
Lead,probable,tonnes,1690000,percent,1,Surface,,,
Zinc,probable,tonnes,1150000,percent,5.7,Underground,,,
Lead,probable,tonnes,1150000,percent,3.2,Underground,,,
