commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Zinc,proven,tonnes,41900000,percent,19.2,Main Deposit,,,
Zinc,probable,tonnes,56100000,percent,16.6,Aqqaluk Deposit,,,
Zinc,indicated,tonnes,3400000,percent,9.8,Aqqaluk Deposit,,,
Zinc,indicated,tonnes,9600000,percent,17.8,Qanaiyaq Deposit,,,
Zinc,inferred,tonnes,6800000,percent,6.5,Aqqaluk Deposit,,,
Zinc,inferred,tonnes,13000000,percent,15,Palaaaq Deposit,,,
Zinc,inferred,tonnes,17200000,percent,15.8,Anarraaq Deposit,,,
Lead,proven,tonnes,41900000,percent,5.2,Main Deposit,,,
Lead,probable,tonnes,56100000,percent,4.1,Aqqaluk Deposit,,,
Lead,indicated,tonnes,3400000,percent,3.7,Aqqaluk Deposit,,,
Lead,indicated,tonnes,9600000,percent,5.5,Qanaiyaq Deposit,,,
Lead,inferred,tonnes,6800000,percent,3.6,Aqqaluk Deposit,,,
Lead,inferred,tonnes,13000000,percent,4,Palaaaq Deposit,,,
Lead,inferred,tonnes,17200000,percent,4.8,Anarraaq Deposit,,,
Silver,proven,tonnes,41900000,grams per tonne,100,Main Deposit,,,
Silver,probable,tonnes,56100000,grams per tonne,76,Aqqaluk Deposit,,,
Silver,indicated,tonnes,3400000,grams per tonne,78,Aqqaluk Deposit,,,
Silver,indicated,tonnes,9600000,grams per tonne,117,Qanaiyaq Deposit,,,
Silver,inferred,tonnes,6800000,grams per tonne,59,Aqqaluk Deposit,,,
Silver,inferred,tonnes,13000000,grams per tonne,90,Palaaaq Deposit,,,
Silver,inferred,tonnes,17200000,grams per tonne,71,Anarraaq Deposit,,,
