commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Nickel,indicated,tonnes,8550000.0,percent,0.45,percent,0.30,,Conwest Zone
Copper,indicated,tonnes,8550000.0,percent,0.31,percent,0.30,,Conwest Zone
Cobalt,indicated,tonnes,8550000.0,percent,0.01,percent,0.30,,Conwest Zone
Sulfur,indicated,tonnes,8550000.0,percent,2.43,percent,0.30,,Conwest Zone
Gold,indicated,tonnes,8550000.0,grams/tonne,0.03,percent,0.30,,Conwest Zone
Platinum,indicated,tonnes,8550000.0,grams/tonne,0.07,percent,0.30,,Conwest Zone
Palladium,indicated,tonnes,8550000.0,grams/tonne,0.02,percent,0.30,,Conwest Zone
Silver,indicated,tonnes,8550000.0,grams/tonne,1.91,percent,0.30,,Conwest Zone
Nickel,inferred,tonnes,2000000.0,percent,0.38,percent,0.30,,Conwest Zone
Copper,inferred,tonnes,2000000.0,percent,0.30,percent,0.30,,Conwest Zone
Cobalt,inferred,tonnes,2000000.0,percent,0.01,percent,0.30,,Conwest Zone
Sulfur,inferred,tonnes,2000000.0,percent,2.15,percent,0.30,,Conwest Zone
Gold,inferred,tonnes,2000000.0,grams/tonne,0.04,percent,0.30,,Conwest Zone
Platinum,inferred,tonnes,2000000.0,grams/tonne,0.09,percent,0.30,,Conwest Zone
Palladium,inferred,tonnes,2000000.0,grams/tonne,0.03,percent,0.30,,Conwest Zone
Silver,inferred,tonnes,2000000.0,grams/tonne,2.11,percent,0.30,,Conwest Zone
Nickel,indicated,tonnes,8450000.0,percent,0.45,percent,0.35,,Conwest Zone
Copper,indicated,tonnes,8450000.0,percent,0.31,percent,0.35,,Conwest Zone
Cobalt,indicated,tonnes,8450000.0,percent,0.01,percent,0.35,,Conwest Zone
Sulfur,indicated,tonnes,8450000.0,percent,2.45,percent,0.35,,Conwest Zone
Gold,indicated,tonnes,8450000.0,grams/tonne,0.03,percent,0.35,,Conwest Zone
Platinum,indicated,tonnes,8450000.0,grams/tonne,0.08,percent,0.35,,Conwest Zone
Palladium,indicated,tonnes,8450000.0,grams/tonne,0.02,percent,0.35,,Conwest Zone
Silver,indicated,tonnes,8450000.0,grams/tonne,1.93,percent,0.35,,Conwest Zone
Nickel,indicated,tonnes,8010000.0,percent,0.46,percent,0.40,,Conwest Zone
Copper,indicated,tonnes,8010000.0,percent,0.32,percent,0.40,,Conwest Zone
Cobalt,indicated,tonnes,8010000.0,percent,0.01,percent,0.40,,Conwest Zone
Sulfur,indicated,tonnes,8010000.0,percent,2.49,percent,0.40,,Conwest Zone
Gold,indicated,tonnes,8010000.0,grams/tonne,0.03,percent,0.40,,Conwest Zone
Platinum,indicated,tonnes,8010000.0,grams/tonne,0.08,percent,0.40,,Conwest Zone
Palladium,indicated,tonnes,8010000.0,grams/tonne,0.02,percent,0.40,,Conwest Zone
Silver,indicated,tonnes,8010000.0,grams/tonne,1.93,percent,0.40,,Conwest Zone
Nickel,indicated,tonnes,7320000.0,percent,0.47,percent,0.50,,Conwest Zone
Copper,indicated,tonnes,7320000.0,percent,0.32,percent,0.50,,Conwest Zone
Cobalt,indicated,tonnes,7320000.0,percent,0.01,percent,0.50,,Conwest Zone
Sulfur,indicated,tonnes,7320000.0,percent,2.52,percent,0.50,,Conwest Zone
Gold,indicated,tonnes,7320000.0,grams/tonne,0.03,percent,0.50,,Conwest Zone
Platinum,indicated,tonnes,7320000.0,grams/tonne,0.08,percent,0.50,,Conwest Zone
Palladium,indicated,tonnes,7320000.0,grams/tonne,0.02,percent,0.50,,Conwest Zone
Silver,indicated,tonnes,7320000.0,grams/tonne,1.97,percent,0.50,,Conwest Zone
Nickel,indicated,tonnes,5080000.0,percent,0.49,percent,0.55,,Conwest Zone
Copper,indicated,tonnes,5080000.0,percent,0.33,percent,0.55,,Conwest Zone
Cobalt,indicated,tonnes,5080000.0,percent,0.01,percent,0.55,,Conwest Zone
Sulfur,indicated,tonnes,5080000.0,percent,2.63,percent,0.55,,Conwest Zone
Gold,indicated,tonnes,5080000.0,grams/tonne,0.03,percent,0.55,,Conwest Zone
Platinum,indicated,tonnes,5080000.0,grams/tonne,0.07,percent,0.55,,Conwest Zone
Palladium,indicated,tonnes,5080000.0,grams/tonne,0.02,percent,0.55,,Conwest Zone
Silver,indicated,tonnes,5080000.0,grams/tonne,1.90,percent,0.55,,Conwest Zone
Nickel,inferred,tonnes,1910000.0,percent,0.38,percent,0.40,,Conwest Zone
Copper,inferred,tonnes,1910000.0,percent,0.30,percent,0.40,,Conwest Zone
Cobalt,inferred,tonnes,1910000.0,percent,0.01,percent,0.40,,Conwest Zone
Sulfur,inferred,tonnes,1910000.0,percent,2.17,percent,0.40,,Conwest Zone
Gold,inferred,tonnes,1910000.0,grams/tonne,0.04,percent,0.40,,Conwest Zone
Platinum,inferred,tonnes,1910000.0,grams/tonne,0.09,percent,0.40,,Conwest Zone
Palladium,inferred,tonnes,1910000.0,grams/tonne,0.03,percent,0.40,,Conwest Zone
Silver,inferred,tonnes,1910000.0,grams/tonne,2.08,percent,0.40,,Conwest Zone
Nickel,inferred,tonnes,1570000.0,percent,0.40,percent,0.45,,Conwest Zone
Copper,inferred,tonnes,1570000.0,percent,0.29,percent,0.45,,Conwest Zone
Cobalt,inferred,tonnes,1570000.0,percent,0.01,percent,0.45,,Conwest Zone
Sulfur,inferred,tonnes,1570000.0,percent,2.22,percent,0.45,,Conwest Zone
Gold,inferred,tonnes,1570000.0,grams/tonne,0.04,percent,0.45,,Conwest Zone
Platinum,inferred,tonnes,1570000.0,grams/tonne,0.10,percent,0.45,,Conwest Zone
Palladium,inferred,tonnes,1570000.0,grams/tonne,0.03,percent,0.45,,Conwest Zone
Silver,inferred,tonnes,1570000.0,grams/tonne,2.03,percent,0.45,,Conwest Zone
Nickel,inferred,tonnes,595000.0,percent,0.45,percent,0.50,,Conwest Zone
Copper,inferred,tonnes,595000.0,percent,0.30,percent,0.50,,Conwest Zone
Cobalt,inferred,tonnes,595000.0,percent,0.01,percent,0.50,,Conwest Zone
Sulfur,inferred,tonnes,595000.0,percent,2.46,percent,0.50,,Conwest Zone
Gold,inferred,tonnes,595000.0,grams/tonne,0.05,percent,0.50,,Conwest Zone
Platinum,inferred,tonnes,595000.0,grams/tonne,0.12,percent,0.50,,Conwest Zone
Palladium,inferred,tonnes,595000.0,grams/tonne,0.03,percent,0.50,,Conwest Zone
Silver,inferred,tonnes,595000.0,grams/tonne,1.95,percent,0.50,,Conwest Zone
Nickel,inferred,tonnes,298000.0,percent,0.48,percent,0.55,,Conwest Zone
Copper,inferred,tonnes,298000.0,percent,0.30,percent,0.55,,Conwest Zone
Cobalt,inferred,tonnes,298000.0,percent,0.01,percent,0.55,,Conwest Zone
Sulfur,inferred,tonnes,298000.0,percent,2.54,percent,0.55,,Conwest Zone
Gold,inferred,tonnes,298000.0,grams/tonne,0.05,percent,0.55,,Conwest Zone
Platinum,inferred,tonnes,298000.0,grams/tonne,0.13,percent,0.55,,Conwest Zone
Palladium,inferred,tonnes,298000.0,grams/tonne,0.03,percent,0.55,,Conwest Zone
Silver,inferred,tonnes,298000.0,grams/tonne,2.00,percent,0.55,,Conwest Zone
Nickel,inferred,tonnes,66000.0,percent,0.56,percent,0.60,,Conwest Zone
Copper,inferred,tonnes,66000.0,percent,0.30,percent,0.60,,Conwest Zone
Cobalt,inferred,tonnes,66000.0,percent,0.01,percent,0.60,,Conwest Zone
Sulfur,inferred,tonnes,66000.0,percent,2.85,percent,0.60,,Conwest Zone
Gold,inferred,tonnes,66000.0,grams/tonne,0.06,percent,0.60,,Conwest Zone
Platinum,inferred,tonnes,66000.0,grams/tonne,0.17,percent,0.60,,Conwest Zone
Palladium,inferred,tonnes,66000.0,grams/tonne,0.05,percent,0.60,,Conwest Zone
Silver,inferred,tonnes,66000.0,grams/tonne,2.25,percent,0.60,,Conwest Zone
Nickel,indicated,tonnes,2110000.0,percent,0.52,percent,0.60,,Conwest Zone
Copper,indicated,tonnes,2110000.0,percent,0.36,percent,0.60,,Conwest Zone
Cobalt,indicated,tonnes,2110000.0,percent,0.02,percent,0.60,,Conwest Zone
