commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Platinum,indicated,tonnage,9604000.0,g/t,0.98,g/t,0.50,,Open Pit
Palladium,indicated,tonnage,9604000.0,g/t,0.93,g/t,0.50,,Open Pit
Rhodium,indicated,tonnage,9604000.0,g/t,0.04,g/t,0.50,,Open Pit
Gold,indicated,tonnage,9604000.0,g/t,0.06,g/t,0.50,,Open Pit
Silver,indicated,tonnage,9604000.0,g/t,1.4,g/t,0.50,,Open Pit
Copper,indicated,tonnage,9604000.0,%,0.23,g/t,0.50,,Open Pit
Nickel,indicated,tonnage,9604000.0,%,0.17,g/t,0.50,,Open Pit
Cobalt,indicated,tonnage,9604000.0,g/t,139,g/t,0.50,,Open Pit
Platinum,indicated,tonnage,8015000.0,g/t,1.08,g/t,0.61,,Open Pit
Palladium,indicated,tonnage,8015000.0,g/t,1.02,g/t,0.61,,Open Pit
Rhodium,indicated,tonnage,8015000.0,g/t,0.05,g/t,0.61,,Open Pit
Gold,indicated,tonnage,8015000.0,g/t,0.07,g/t,0.61,,Open Pit
Silver,indicated,tonnage,8015000.0,g/t,1.6,g/t,0.61,,Open Pit
Copper,indicated,tonnage,8015000.0,%,0.26,g/t,0.61,,Open Pit
Nickel,indicated,tonnage,8015000.0,%,0.18,g/t,0.61,,Open Pit
Cobalt,indicated,tonnage,8015000.0,g/t,142,g/t,0.61,,Open Pit
Platinum,indicated,tonnage,3443000.0,g/t,1.32,g/t,1.00,,Open Pit
Palladium,indicated,tonnage,3443000.0,g/t,1.25,g/t,1.00,,Open Pit
Rhodium,indicated,tonnage,3443000.0,g/t,0.06,g/t,1.00,,Open Pit
Gold,indicated,tonnage,3443000.0,g/t,0.09,g/t,1.00,,Open Pit
Silver,indicated,tonnage,3443000.0,g/t,1.9,g/t,1.00,,Open Pit
Copper,indicated,tonnage,3443000.0,%,0.31,g/t,1.00,,Open Pit
Nickel,indicated,tonnage,3443000.0,%,0.21,g/t,1.00,,Open Pit
Cobalt,indicated,tonnage,3443000.0,g/t,151,g/t,1.00,,Open Pit
Platinum,indicated,tonnage,2077000.0,g/t,1.65,g/t,1.50,,Open Pit
Palladium,indicated,tonnage,2077000.0,g/t,1.56,g/t,1.50,,Open Pit
Rhodium,indicated,tonnage,2077000.0,g/t,0.08,g/t,1.50,,Open Pit
Gold,indicated,tonnage,2077000.0,g/t,0.11,g/t,1.50,,Open Pit
Silver,indicated,tonnage,2077000.0,g/t,2.4,g/t,1.50,,Open Pit
Copper,indicated,tonnage,2077000.0,%,0.38,g/t,1.50,,Open Pit
Nickel,indicated,tonnage,2077000.0,%,0.24,g/t,1.50,,Open Pit
Cobalt,indicated,tonnage,2077000.0,g/t,162,g/t,1.50,,Open Pit
Platinum,indicated,tonnage,1329000.0,g/t,1.96,g/t,2.00,,Open Pit
Palladium,indicated,tonnage,1329000.0,g/t,1.86,g/t,2.00,,Open Pit
Rhodium,indicated,tonnage,1329000.0,g/t,0.10,g/t,2.00,,Open Pit
Gold,indicated,tonnage,1329000.0,g/t,0.13,g/t,2.00,,Open Pit
Silver,indicated,tonnage,1329000.0,g/t,2.8,g/t,2.00,,Open Pit
Copper,indicated,tonnage,1329000.0,%,0.45,g/t,2.00,,Open Pit
Nickel,indicated,tonnage,1329000.0,%,0.26,g/t,2.00,,Open Pit
Cobalt,indicated,tonnage,1329000.0,g/t,171,g/t,2.00,,Open Pit
Platinum,inferred,tonnage,54000.0,g/t,0.95,g/t,0.50,,Open Pit
Palladium,inferred,tonnage,54000.0,g/t,0.89,g/t,0.50,,Open Pit
Rhodium,inferred,tonnage,54000.0,g/t,0.04,g/t,0.50,,Open Pit
Gold,inferred,tonnage,54000.0,g/t,0.07,g/t,0.50,,Open Pit
Silver,inferred,tonnage,54000.0,g/t,1.6,g/t,0.50,,Open Pit
Copper,inferred,tonnage,54000.0,%,0.22,g/t,0.50,,Open Pit
Nickel,inferred,tonnage,54000.0,%,0.18,g/t,0.50,,Open Pit
Cobalt,inferred,tonnage,54000.0,g/t,142,g/t,0.50,,Open Pit
Platinum,inferred,tonnage,53000.0,g/t,0.96,g/t,0.61,,Open Pit
Palladium,inferred,tonnage,53000.0,g/t,0.89,g/t,0.61,,Open Pit
Rhodium,inferred,tonnage,53000.0,g/t,0.04,g/t,0.61,,Open Pit
Gold,inferred,tonnage,53000.0,g/t,0.07,g/t,0.61,,Open Pit
Silver,inferred,tonnage,53000.0,g/t,1.6,g/t,0.61,,Open Pit
Copper,inferred,tonnage,53000.0,%,0.22,g/t,0.61,,Open Pit
Nickel,inferred,tonnage,53000.0,%,0.18,g/t,0.61,,Open Pit
Cobalt,inferred,tonnage,53000.0,g/t,142,g/t,0.61,,Open Pit
Platinum,inferred,tonnage,25000.0,g/t,1.15,g/t,1.00,,Open Pit
Palladium,inferred,tonnage,25000.0,g/t,1.07,g/t,1.00,,Open Pit
Rhodium,inferred,tonnage,25000.0,g/t,0.05,g/t,1.00,,Open Pit
Gold,inferred,tonnage,25000.0,g/t,0.08,g/t,1.00,,Open Pit
Silver,inferred,tonnage,25000.0,g/t,2000.0,g/t,1.00,,Open Pit
Copper,inferred,tonnage,25000.0,%,0.25,g/t,1.00,,Open Pit
Nickel,inferred,tonnage,25000.0,%,0.19,g/t,1.00,,Open Pit
Cobalt,inferred,tonnage,25000.0,g/t,143,g/t,1.00,,Open Pit
Platinum,inferred,tonnage,13000.0,g/t,1.47,g/t,1.50,,Open Pit
Palladium,inferred,tonnage,13000.0,g/t,1.37,g/t,1.50,,Open Pit
Rhodium,inferred,tonnage,13000.0,g/t,0.07,g/t,1.50,,Open Pit
Gold,inferred,tonnage,13000.0,g/t,0.11,g/t,1.50,,Open Pit
Silver,inferred,tonnage,13000.0,g/t,2.9,g/t,1.50,,Open Pit
Copper,inferred,tonnage,13000.0,%,0.31,g/t,1.50,,Open Pit
Nickel,inferred,tonnage,13000.0,%,0.21,g/t,1.50,,Open Pit
Cobalt,inferred,tonnage,13000.0,g/t,152,g/t,1.50,,Open Pit
Platinum,inferred,tonnage,11000.0,g/t,1.54,g/t,2.00,,Open Pit
Palladium,inferred,tonnage,11000.0,g/t,1.43,g/t,2.00,,Open Pit
Rhodium,inferred,tonnage,11000.0,g/t,0.07,g/t,2.00,,Open Pit
Gold,inferred,tonnage,11000.0,g/t,0.12,g/t,2.00,,Open Pit
Silver,inferred,tonnage,11000.0,g/t,3000.0,g/t,2.00,,Open Pit
Copper,inferred,tonnage,11000.0,%,0.33,g/t,2.00,,Open Pit
Nickel,inferred,tonnage,11000.0,%,0.21,g/t,2.00,,Open Pit
Cobalt,inferred,tonnage,11000.0,g/t,154,g/t,2.00,,Open Pit
Platinum,indicated,tonnage,918000.0,g/t,1.58,g/t,1.50,,Underground
Palladium,indicated,tonnage,918000.0,g/t,1.46,g/t,1.50,,Underground
Rhodium,indicated,tonnage,918000.0,g/t,0.07,g/t,1.50,,Underground
Gold,indicated,tonnage,918000.0,g/t,0.10,g/t,1.50,,Underground
Silver,indicated,tonnage,918000.0,g/t,2.3,g/t,1.50,,Underground
Copper,indicated,tonnage,918000.0,%,0.37,g/t,1.50,,Underground
Nickel,indicated,tonnage,918000.0,%,0.24,g/t,1.50,,Underground
Cobalt,indicated,tonnage,918000.0,g/t,168,g/t,1.50,,Underground
Platinum,indicated,tonnage,1046000.0,g/t,1.62,g/t,1.94,,Underground
Palladium,indicated,tonnage,1046000.0,g/t,1.50,g/t,1.94,,Underground
Rhodium,indicated,tonnage,1046000.0,g/t,0.08,g/t,1.94,,Underground
Gold,indicated,tonnage,1046000.0,g/t,0.11,g/t,1.94,,Underground
Silver,indicated,tonnage,1046000.0,g/t,2.4,g/t,1.94,,Underground
Copper,indicated,tonnage,1046000.0,%,0.39,g/t,1.94,,Underground
Nickel,indicated,tonnage,1046000.0,%,0.24,g/t,1.94,,Underground
Cobalt,indicated,tonnage,1046000.0,g/t,171,g/t,1.94,,Underground
Platinum,indicated,tonnage,1972000.0,g/t,1.91,g/t,2.50,,Underground
Palladium,indicated,tonnage,1972000.0,g/t,1.79,g/t,2.50,,Underground
Rhodium,indicated,tonnage,1972000.0,g/t,0.09,g/t,2.50,,Underground
Gold,indicated,tonnage,1972000.0,g/t,0.13,g/t,2.50,,Underground
Silver,indicated,tonnage,1972000.0,g/t,2.9,g/t,2.50,,Underground
Copper,indicated,tonnage,1972000.0,%,0.46,g/t,2.50,,Underground
Nickel,indicated,tonnage,1972000.0,%,0.26,g/t,2.50,,Underground
Cobalt,indicated,tonnage,1972000.0,g/t,175,g/t,2.50,,Underground
Platinum,indicated,tonnage,1319000.0,g/t,2.20,g/t,3.00,,Underground
Palladium,indicated,tonnage,1319000.0,g/t,2.06,g/t,3.00,,Underground
Rhodium,indicated,tonnage,1319000.0,g/t,0.11,g/t,3.00,,Underground
Gold,indicated,tonnage,1319000.0,g/t,0.14,g/t,3.00,,Underground
Silver,indicated,tonnage,1319000.0,g/t,3.4,g/t,3.00,,Underground
Copper,indicated,tonnage,1319000.0,%,0.53,g/t,3.00,,Underground
Nickel,indicated,tonnage,1319000.0,%,0.30,g/t,3.00,,Underground
Cobalt,indicated,tonnage,1319000.0,g/t,180,g/t,3.00,,Underground
Platinum,indicated,tonnage,711000.0,g/t,2.70,g/t,4.00,,Underground
Palladium,indicated,tonnage,711000.0,g/t,2.53,g/t,4.00,,Underground
Rhodium,indicated,tonnage,711000.0,g/t,0.14,g/t,4.00,,Underground
Gold,indicated,tonnage,711000.0,g/t,0.18,g/t,4.00,,Underground
Silver,indicated,tonnage,711000.0,g/t,4.4,g/t,4.00,,Underground
Copper,indicated,tonnage,711000.0,%,0.66,g/t,4.00,,Underground
Nickel,indicated,tonnage,711000.0,%,0.36,g/t,4.00,,Underground
Cobalt,indicated,tonnage,711000.0,g/t,208,g/t,4.00,,Underground
Platinum,indicated,tonnage,287000.0,g/t,3.52,g/t,5.00,,Underground
Palladium,indicated,tonnage,287000.0,g/t,3.35,g/t,5.00,,Underground
Rhodium,indicated,tonnage,287000.0,g/t,0.18,g/t,5.00,,Underground
Gold,indicated,tonnage,287000.0,g/t,0.24,g/t,5.00,,Underground
Silver,indicated,tonnage,287000.0,g/t,5.8,g/t,5.00,,Underground
Copper,indicated,tonnage,287000.0,%,0.88,g/t,5.00,,Underground
Nickel,indicated,tonnage,287000.0,%,0.45,g/t,5.00,,Underground
Cobalt,indicated,tonnage,287000.0,g/t,241,g/t,5.00,,Underground
Platinum,inferred,tonnage,210000.0,g/t,1.40,g/t,1.50,,Underground
Palladium,inferred,tonnage,210000.0,g/t,1.28,g/t,1.50,,Underground
Rhodium,inferred,tonnage,210000.0,g/t,0.06,g/t,1.50,,Underground
Gold,inferred,tonnage,210000.0,g/t,0.09,g/t,1.50,,Underground
Silver,inferred,tonnage,210000.0,g/t,1.9,g/t,1.50,,Underground
Copper,inferred,tonnage,210000.0,%,0.34,g/t,1.50,,Underground
Nickel,inferred,tonnage,210000.0,%,0.23,g/t,1.50,,Underground
Cobalt,inferred,tonnage,210000.0,g/t,157,g/t,1.50,,Underground
Platinum,inferred,tonnage,213000.0,g/t,1.40,g/t,1.94,,Underground
Palladium,inferred,tonnage,213000.0,g/t,1.29,g/t,1.94,,Underground
