commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Nickel,indicated,tonnage,209000,%,1.64,,,,Puimajuq
Copper,indicated,tonnage,209000,%,2.73,,,,Puimajuq
Cobalt,indicated,tonnage,209000,%,0.06,,,,Puimajuq
Platinum,indicated,tonnage,209000,g/t,0.92,,,,Puimajuq
Palladium,indicated,tonnage,209000,g/t,2.48,,,,Puimajuq
Gold,indicated,tonnage,209000,g/t,0.09,,,,Puimajuq
Nickel,indicated,tonnage,3761000,%,0.9,,,,Allammaq
Copper,inferred,tonnage,12000,%,3.23,,,,Puimajuq
Cobalt,inferred,tonnage,12000,%,0.09,,,,Puimajuq
Platinum,inferred,tonnage,12000,g/t,1.18,,,,Puimajuq
Palladium,inferred,tonnage,12000,g/t,2.63,,,,Puimajuq
Gold,inferred,tonnage,12000,g/t,0.14,,,,Puimajuq
Nickel,indicated,tonnage,2218000,%,1.89,,,,Mesamax
Copper,measured,tonnage,560000,%,1.1,,,,Allammaq
Cobalt,measured,tonnage,560000,%,0.04,,,,Allammaq
Platinum,measured,tonnage,560000,g/t,0.6,,,,Allammaq
Palladium,measured,tonnage,560000,g/t,2.66,,,,Allammaq
Gold,measured,tonnage,560000,g/t,0.1,,,,Allammaq
Nickel,indicated,tonnage,5374000,%,0.74,,,,Mequillon
Copper,indicated,tonnage,3761000,%,1.12,,,,Allammaq
Cobalt,indicated,tonnage,3761000,%,0.04,,,,Allammaq
Platinum,indicated,tonnage,3761000,g/t,0.58,,,,Allammaq
Palladium,indicated,tonnage,3761000,g/t,2.15,,,,Allammaq
Gold,indicated,tonnage,3761000,g/t,0.12,,,,Allammaq
Nickel,indicated,tonnage,8562000,%,0.76,,,,Expo
Copper,inferred,tonnage,1591000,%,0.53,,,,Allammaq
Cobalt,inferred,tonnage,1591000,%,0.03,,,,Allammaq
Platinum,inferred,tonnage,1591000,g/t,0.38,,,,Allammaq
Palladium,inferred,tonnage,1591000,g/t,1.56,,,,Allammaq
Gold,inferred,tonnage,1591000,g/t,0.07,,,,Allammaq
Nickel,indicated,tonnage,1128000,%,1.22,,,,Ivakkak
Copper,indicated,tonnage,2218000,%,2.57,,,,Mesamax
Cobalt,indicated,tonnage,2218000,%,0.08,,,,Mesamax
Platinum,indicated,tonnage,2218000,g/t,0.6,,,,Mesamax
Palladium,indicated,tonnage,2218000,g/t,2.08,,,,Mesamax
Gold,indicated,tonnage,2218000,g/t,0.2,,,,Mesamax
Nickel,indicated,tonnage,90000,%,1.6,,,,TK
Copper,inferred,tonnage,31000,%,1.78,,,,Mesamax
Cobalt,inferred,tonnage,31000,%,0.07,,,,Mesamax
Platinum,inferred,tonnage,31000,g/t,0.51,,,,Mesamax
Palladium,inferred,tonnage,31000,g/t,1.93,,,,Mesamax
Gold,inferred,tonnage,31000,g/t,0.18,,,,Mesamax
Nickel,indicated,tonnage,684852,%,3.429,,,,Massive Sulphide Domain
Copper,indicated,tonnage,5374000,%,1.07,,,,Mequillon
Cobalt,indicated,tonnage,5374000,%,0.03,,,,Mequillon
Platinum,indicated,tonnage,5374000,g/t,0.5,,,,Mequillon
Palladium,indicated,tonnage,5374000,g/t,2.57,,,,Mequillon
Gold,indicated,tonnage,5374000,g/t,0.11,,,,Mequillon
Nickel,indicated,tonnage,220398,%,3.319,,,,Oxidized Massive Sulphide Domain
Copper,inferred,tonnage,3085000,%,1.12,,,,Mequillon
Cobalt,inferred,tonnage,3085000,%,0.03,,,,Mequillon
Platinum,inferred,tonnage,3085000,g/t,0.64,,,,Mequillon
Palladium,inferred,tonnage,3085000,g/t,2.47,,,,Mequillon
Gold,inferred,tonnage,3085000,g/t,0.12,,,,Mequillon
Nickel,indicated,tonnage,1104271,%,0.857,,,,Net Textured Sulphide Domain
Copper,indicated,tonnage,8562000,%,0.76,,,,Expo
Cobalt,indicated,tonnage,8562000,%,0.03,,,,Expo
Platinum,indicated,tonnage,8562000,g/t,0.32,,,,Expo
Palladium,indicated,tonnage,8562000,g/t,1.36,,,,Expo
Gold,indicated,tonnage,8562000,g/t,0.08,,,,Expo
Nickel,indicated,tonnage,208284,%,0.811,,,,Oxidized Net Textured Sulphide Domain
Copper,inferred,tonnage,478000,%,0.83,,,,Expo
Cobalt,inferred,tonnage,478000,%,0.04,,,,Expo
Platinum,inferred,tonnage,478000,g/t,0.32,,,,Expo
Palladium,inferred,tonnage,478000,g/t,1.43,,,,Expo
Gold,inferred,tonnage,478000,g/t,0.08,,,,Expo
Copper,indicated,tonnage,1128000,%,1.55,,,,Ivakkak
Cobalt,indicated,tonnage,1128000,%,0.05,,,,Ivakkak
Platinum,indicated,tonnage,1128000,g/t,0.35,,,,Ivakkak
Palladium,indicated,tonnage,1128000,g/t,1.69,,,,Ivakkak
